"State","County","   Days per year with a heat index above 100°F   ",,,,,
,,," Midcentury ",," Late century ",,
,," Historical "," Slow action "," No action "," Slow action "," No action "," Rapid action "
"AZ","Apache County",0,1,2,1,11,1
"AZ","Cochise County",0,8,15,13,45,8
"AZ","Coconino County",0,3,6,4,20,3
"AZ","Gila County",2,12,17,15,37,12
"AZ","Graham County",1,13,21,18,47,13
"AZ","Greenlee County",0,5,9,8,25,5
"AZ","La Paz County",56,94,104,102,122,94
"AZ","Maricopa County",51,90,100,98,119,89
"AZ","Mohave County",9,26,34,31,56,26
"AZ","Navajo County",0,1,3,2,16,1
"AZ","Pima County",29,67,78,75,105,67
"AZ","Pinal County",37,75,87,83,111,75
"AZ","Santa Cruz County",0,8,15,12,43,8
"AZ","Yavapai County",2,12,18,16,40,12
"AZ","Yuma County",68,104,113,112,130,104
"CA","Alameda County",0,3,5,5,16,3
"CA","Alpine County",0,0,0,0,0,0
"CA","Amador County",3,15,22,20,45,15
"CA","Butte County",5,21,29,27,54,21
"CA","Calaveras County",3,15,23,21,47,15
"CA","Colusa County",7,27,37,35,65,27
"CA","Contra Costa County",1,8,11,11,29,8
"CA","Del Norte County",0,0,0,0,2,0
"CA","El Dorado County",1,6,9,8,23,6
"CA","Fresno County",7,21,29,28,49,22
"CA","Glenn County",7,26,35,33,60,26
"CA","Humboldt County",0,2,4,4,11,2
"CA","Imperial County",69,105,114,113,131,105
"CA","Inyo County",13,26,33,31,49,26
"CA","Kern County",6,22,31,29,56,22
"CA","Kings County",13,40,53,50,85,40
"CA","Lake County",1,8,12,11,28,8
"CA","Lassen County",0,0,0,0,3,0
"CA","Los Angeles County",1,8,12,11,32,8
"CA","Madera County",7,23,31,30,52,23
"CA","Marin County",0,0,1,1,5,0
"CA","Mariposa County",3,13,19,17,36,13
"CA","Mendocino County",0,3,6,5,16,3
"CA","Merced County",7,27,38,36,68,27
"CA","Modoc County",0,0,0,0,5,0
"CA","Mono County",0,0,0,0,2,0
"CA","Monterey County",1,6,9,9,22,6
"CA","Napa County",2,10,15,14,36,10
"CA","Nevada County",1,5,8,7,19,5
"CA","Orange County",0,4,7,6,27,4
"CA","Placer County",2,8,11,11,24,8
"CA","Plumas County",0,0,0,0,2,0
"CA","Riverside County",33,60,69,67,91,60
"CA","Sacramento County",5,22,31,30,62,22
"CA","San Benito County",1,7,11,10,27,7
"CA","San Bernardino County",19,45,56,52,80,46
"CA","San Diego County",9,21,26,25,48,21
"CA","San Francisco County",0,0,0,0,0,0
"CA","San Joaquin County",5,21,30,29,60,21
"CA","San Luis Obispo County",1,7,11,11,28,7
"CA","San Mateo County",0,1,1,1,5,1
"CA","Santa Barbara County",0,2,4,3,13,2
"CA","Santa Clara County",0,3,5,4,16,3
"CA","Santa Cruz County",0,1,2,2,9,1
"CA","Shasta County",2,11,16,14,32,11
"CA","Sierra County",0,0,0,0,2,0
"CA","Siskiyou County",0,2,3,3,11,2
"CA","Solano County",4,16,23,22,48,16
"CA","Sonoma County",0,2,4,4,14,2
"CA","Stanislaus County",5,21,30,28,58,21
"CA","Sutter County",8,30,42,40,74,30
"CA","Tehama County",5,20,27,26,48,20
"CA","Trinity County",0,3,5,5,15,3
"CA","Tulare County",5,18,24,23,40,18
"CA","Tuolumne County",1,4,6,5,14,4
"CA","Ventura County",0,3,5,5,16,3
"CA","Yolo County",8,27,37,35,67,27
"CA","Yuba County",5,20,29,27,57,20
"CO","Adams County",0,1,3,1,17,0
"CO","Alamosa County",0,0,0,0,0,0
"CO","Arapahoe County",0,0,1,0,12,0
"CO","Archuleta County",0,0,0,0,1,0
"CO","Baca County",0,5,13,8,41,5
"CO","Bent County",0,10,20,15,50,10
"CO","Boulder County",0,0,1,0,5,0
"CO","Broomfield County",0,0,2,1,14,0
"CO","Chaffee County",0,0,0,0,0,0
"CO","Cheyenne County",0,3,9,5,32,3
"CO","Clear Creek County",0,0,0,0,0,0
"CO","Conejos County",0,0,0,0,0,0
"CO","Costilla County",0,0,0,0,0,0
"CO","Crowley County",0,4,10,7,37,4
"CO","Custer County",0,0,0,0,0,0
"CO","Delta County",0,0,1,0,8,0
"CO","Denver County",0,0,1,0,12,0
"CO","Dolores County",0,0,0,0,1,0
"CO","Douglas County",0,0,0,0,3,0
"CO","Eagle County",0,0,0,0,0,0
"CO","El Paso County",0,0,0,0,4,0
"CO","Elbert County",0,0,0,0,6,0
"CO","Fremont County",0,0,0,0,3,0
"CO","Garfield County",0,0,0,0,2,0
"CO","Gilpin County",0,0,0,0,0,0
"CO","Grand County",0,0,0,0,0,0
"CO","Gunnison County",0,0,0,0,0,0
"CO","Hinsdale County",0,0,0,0,0,0
"CO","Huerfano County",0,0,0,0,3,0
"CO","Jackson County",0,0,0,0,0,0
"CO","Jefferson County",0,0,0,0,2,0
"CO","Kiowa County",0,5,13,8,40,5
"CO","Kit Carson County",0,2,7,4,27,2
"CO","La Plata County",0,0,0,0,1,0
"CO","Lake County",0,0,0,0,0,0
"CO","Larimer County",0,0,0,0,1,0
"CO","Las Animas County",0,0,2,1,14,0
"CO","Lincoln County",0,0,2,1,15,0
"CO","Logan County",0,2,6,4,25,2
"CO","Mesa County",0,0,2,1,9,0
"CO","Mineral County",0,0,0,0,0,0
"CO","Moffat County",0,0,0,0,2,0
"CO","Montezuma County",0,1,2,1,10,1
"CO","Montrose County",0,0,1,0,6,0
"CO","Morgan County",0,2,5,3,24,2
"CO","Otero County",0,6,14,9,44,6
"CO","Ouray County",0,0,0,0,0,0
"CO","Park County",0,0,0,0,0,0
"CO","Phillips County",0,5,10,7,34,5
"CO","Pitkin County",0,0,0,0,0,0
"CO","Prowers County",0,11,21,15,51,11
"CO","Pueblo County",0,2,5,3,25,1
"CO","Rio Blanco County",0,0,0,0,3,0
"CO","Rio Grande County",0,0,0,0,0,0
"CO","Routt County",0,0,0,0,0,0
"CO","Saguache County",0,0,0,0,0,0
"CO","San Juan County",0,0,0,0,0,0
"CO","San Miguel County",0,0,0,0,3,0
"CO","Sedgwick County",0,6,13,9,37,6
"CO","Summit County",0,0,0,0,0,0
"CO","Teller County",0,0,0,0,0,0
"CO","Washington County",0,1,4,2,22,1
"CO","Weld County",0,1,3,1,16,0
"CO","Yuma County",0,5,12,8,36,5
"CT","Fairfield County",1,11,18,15,41,11
"CT","Hartford County",0,8,15,12,35,8
"CT","Litchfield County",0,4,9,6,25,4
"CT","Middlesex County",0,7,13,10,33,7
"CT","New Haven County",0,8,15,12,36,8
"CT","New London County",0,7,13,10,32,7
"CT","Tolland County",0,4,9,6,26,4
"CT","Windham County",0,5,11,8,28,5
"DC","District of Columbia",7,30,41,36,68,30
"DE","Kent County",4,22,32,28,60,22
"DE","New Castle County",4,22,32,27,59,22
"DE","Sussex County",5,24,35,31,63,24
"FL","Alachua County",20,77,97,90,134,78
"FL","Baker County",20,71,90,83,125,72
"FL","Bay County",11,54,75,67,116,55
"FL","Bradford County",16,68,87,79,124,69
"FL","Brevard County",14,73,96,88,136,74
"FL","Broward County",34,108,128,123,162,109
"FL","Calhoun County",19,65,84,78,123,67
"FL","Charlotte County",30,107,125,120,161,107
"FL","Citrus County",25,92,111,104,146,92
"FL","Clay County",20,70,89,82,126,71
"FL","Collier County",64,132,147,142,173,132
"FL","Columbia County",21,75,94,87,129,76
"FL","DeSoto County",28,100,119,114,157,101
"FL","Dixie County",17,76,95,88,131,77
"FL","Duval County",16,65,84,77,121,66
"FL","Escambia County",13,60,80,73,117,61
"FL","Flagler County",17,69,89,81,128,70
"FL","Franklin County",17,69,88,81,125,70
"FL","Gadsden County",19,67,86,79,123,68
"FL","Gilchrist County",24,82,100,94,136,83
"FL","Glades County",30,102,121,116,157,103
"FL","Gulf County",11,55,76,68,117,56
"FL","Hamilton County",21,72,91,84,126,73
"FL","Hardee County",29,100,118,113,155,101
"FL","Hendry County",43,116,133,129,166,116
"FL","Hernando County",33,104,122,116,155,104
"FL","Highlands County",31,102,120,115,156,102
"FL","Hillsborough County",30,103,121,115,156,103
"FL","Holmes County",15,56,75,68,114,57
"FL","Indian River County",21,85,107,100,146,85
"FL","Jackson County",20,67,86,79,122,68
"FL","Jefferson County",21,72,91,84,127,73
"FL","Lafayette County",22,78,96,90,132,79
"FL","Lake County",21,82,102,95,139,83
"FL","Lee County",28,107,126,120,161,108
"FL","Leon County",21,72,90,84,127,73
"FL","Levy County",22,84,102,96,138,84
"FL","Liberty County",18,66,85,78,123,67
"FL","Madison County",21,74,92,86,128,75
"FL","Manatee County",28,101,119,114,155,102
"FL","Marion County",22,83,102,95,138,83
"FL","Martin County",23,96,117,110,152,96
"FL","Miami-Dade County",41,114,134,128,166,115
"FL","Monroe County",55,128,144,139,171,128
"FL","Nassau County",19,66,85,78,121,67
"FL","Okaloosa County",15,58,79,72,116,60
"FL","Okeechobee County",25,94,114,109,152,95
"FL","Orange County",22,86,106,99,143,86
"FL","Osceola County",25,91,111,105,148,92
"FL","Palm Beach County",28,101,121,116,157,102
"FL","Pasco County",33,106,123,117,156,106
"FL","Pinellas County",23,104,122,115,152,105
"FL","Polk County",26,96,114,109,151,96
"FL","Putnam County",23,78,96,90,133,79
"FL","Santa Rosa County",13,58,78,71,116,59
"FL","Sarasota County",38,113,131,125,163,114
"FL","Seminole County",19,79,100,92,138,80
"FL","St. Johns County",15,65,84,76,123,65
"FL","St. Lucie County",22,90,111,105,149,90
"FL","Sumter County",23,90,110,103,146,91
"FL","Suwannee County",24,79,98,91,133,81
"FL","Taylor County",24,82,100,94,133,83
"FL","Union County",18,71,90,83,127,72
"FL","Volusia County",14,65,86,78,127,66
"FL","Wakulla County",25,80,97,92,132,81
"FL","Walton County",15,58,78,71,117,59
"FL","Washington County",17,61,80,74,120,62
"GA","Appling County",21,64,83,75,117,66
"GA","Atkinson County",20,66,84,77,119,67
"GA","Bacon County",20,64,82,75,117,65
"GA","Baker County",24,71,89,82,123,72
"GA","Baldwin County",18,56,73,66,106,57
"GA","Banks County",5,30,44,38,79,31
"GA","Barrow County",8,36,51,44,86,37
"GA","Bartow County",7,35,51,44,86,36
"GA","Ben Hill County",21,66,84,76,116,67
"GA","Berrien County",19,65,84,76,119,66
"GA","Bibb County",18,57,74,67,108,58
"GA","Bleckley County",21,61,79,72,112,63
"GA","Brantley County",21,67,86,78,120,69
"GA","Brooks County",20,69,87,80,122,70
"GA","Bryan County",22,67,85,78,117,68
"GA","Bulloch County",27,72,89,82,120,73
"GA","Burke County",17,55,72,65,106,56
"GA","Butts County",14,50,66,59,100,51
"GA","Calhoun County",17,60,79,71,116,61
"GA","Camden County",18,64,82,75,119,65
"GA","Candler County",25,71,89,82,120,72
"GA","Carroll County",4,30,45,38,82,30
"GA","Catoosa County",6,36,50,43,84,36
"GA","Charlton County",26,77,94,87,127,78
"GA","Chatham County",17,59,77,69,111,60
"GA","Chattahoochee County",16,56,73,65,107,57
"GA","Chattooga County",7,38,53,47,87,39
"GA","Cherokee County",3,23,35,29,70,23
"GA","Clarke County",9,40,55,48,89,41
"GA","Clay County",16,58,76,68,113,59
"GA","Clayton County",8,39,54,47,89,39
"GA","Clinch County",22,70,89,82,123,71
"GA","Cobb County",5,29,43,37,80,30
"GA","Coffee County",21,67,85,77,118,68
"GA","Colquitt County",19,64,83,75,117,65
"GA","Columbia County",13,48,64,57,97,48
"GA","Cook County",21,68,86,79,120,69
"GA","Coweta County",8,41,57,49,93,41
"GA","Crawford County",16,54,72,64,106,55
"GA","Crisp County",26,71,88,81,120,72
"GA","Dade County",4,30,44,37,78,30
"GA","Dawson County",1,14,24,19,57,14
"GA","Decatur County",26,76,94,87,128,77
"GA","DeKalb County",5,32,46,39,82,32
"GA","Dodge County",22,65,83,76,115,66
"GA","Dooly County",22,65,83,75,115,67
"GA","Dougherty County",24,71,89,82,121,72
"GA","Douglas County",5,31,46,39,83,32
"GA","Early County",20,65,84,76,119,67
"GA","Echols County",21,71,90,83,124,73
"GA","Effingham County",25,68,85,78,117,69
"GA","Elbert County",8,37,53,45,87,38
"GA","Emanuel County",21,63,81,73,113,64
"GA","Evans County",24,67,85,78,117,68
"GA","Fannin County",1,14,24,19,56,14
"GA","Fayette County",8,39,55,48,91,40
"GA","Floyd County",8,39,54,47,89,39
"GA","Forsyth County",3,22,34,29,69,23
"GA","Franklin County",8,37,53,46,87,38
"GA","Fulton County",5,30,44,38,80,31
"GA","Gilmer County",1,15,25,20,58,15
"GA","Glascock County",13,47,64,57,99,48
"GA","Glynn County",21,69,87,80,120,70
"GA","Gordon County",8,39,55,48,89,40
"GA","Grady County",21,69,88,80,123,70
"GA","Greene County",13,47,63,56,96,48
"GA","Gwinnett County",4,29,42,35,77,29
"GA","Habersham County",1,17,28,22,61,17
"GA","Hall County",2,22,34,28,68,22
"GA","Hancock County",14,48,65,57,99,49
"GA","Haralson County",4,28,42,36,79,28
"GA","Harris County",9,43,60,52,96,44
"GA","Hart County",8,36,51,44,86,37
"GA","Heard County",8,40,57,49,93,41
"GA","Henry County",11,44,60,52,94,44
"GA","Houston County",20,60,78,70,111,61
"GA","Irwin County",21,66,84,76,117,67
"GA","Jackson County",7,34,48,42,83,35
"GA","Jasper County",13,48,65,57,99,49
"GA","Jeff Davis County",20,64,82,74,115,65
"GA","Jefferson County",16,54,71,64,105,55
"GA","Jenkins County",22,64,82,75,114,65
"GA","Johnson County",19,59,76,69,109,60
"GA","Jones County",16,52,70,62,104,54
"GA","Lamar County",13,49,66,58,100,50
"GA","Lanier County",19,66,85,77,120,67
"GA","Laurens County",23,65,82,75,114,66
"GA","Lee County",22,68,85,77,118,69
"GA","Liberty County",24,70,87,80,119,71
"GA","Lincoln County",14,48,64,57,97,49
"GA","Long County",27,73,90,84,122,74
"GA","Lowndes County",20,69,88,81,122,70
"GA","Lumpkin County",1,12,21,16,52,12
"GA","Macon County",19,60,78,70,111,62
"GA","Madison County",9,39,54,47,88,39
"GA","Marion County",13,51,68,60,104,52
"GA","McDuffie County",12,45,61,54,95,46
"GA","McIntosh County",18,64,82,75,114,65
"GA","Meriwether County",11,46,64,55,98,47
"GA","Miller County",25,73,91,84,125,74
"GA","Mitchell County",24,71,89,82,123,72
"GA","Monroe County",16,52,69,62,103,53
"GA","Montgomery County",20,62,80,73,114,63
"GA","Morgan County",12,46,62,54,95,46
"GA","Murray County",6,35,49,42,82,35
"GA","Muscogee County",14,51,68,60,103,52
"GA","Newton County",10,42,58,51,92,43
"GA","Oconee County",11,42,57,50,91,43
"GA","Oglethorpe County",10,42,57,50,91,42
"GA","Paulding County",6,33,48,41,84,34
"GA","Peach County",16,53,71,63,106,54
"GA","Pickens County",2,18,28,23,62,18
"GA","Pierce County",23,69,87,81,121,71
"GA","Pike County",12,47,64,56,99,48
"GA","Polk County",8,37,53,46,88,38
"GA","Pulaski County",22,65,83,75,115,66
"GA","Putnam County",15,51,68,61,101,52
"GA","Quitman County",16,57,75,67,110,58
"GA","Rabun County",0,9,17,12,46,9
"GA","Randolph County",18,61,79,71,115,62
"GA","Richmond County",14,49,66,58,99,50
"GA","Rockdale County",8,39,54,47,89,39
"GA","Schley County",16,56,74,66,108,57
"GA","Screven County",23,65,82,76,114,66
"GA","Seminole County",26,75,94,87,127,77
"GA","Spalding County",9,42,58,50,94,43
"GA","Stephens County",5,33,48,41,82,33
"GA","Stewart County",16,55,73,65,108,57
"GA","Sumter County",18,59,77,69,111,60
"GA","Talbot County",13,49,66,58,101,50
"GA","Taliaferro County",13,47,63,56,97,47
"GA","Tattnall County",21,65,83,76,116,66
"GA","Taylor County",16,55,72,64,106,56
"GA","Telfair County",20,64,81,74,115,65
"GA","Terrell County",18,61,79,71,114,62
"GA","Thomas County",19,66,85,77,121,67
"GA","Tift County",18,62,81,73,115,63
"GA","Toombs County",20,63,81,74,115,64
"GA","Towns County",0,7,16,11,45,8
"GA","Treutlen County",21,63,80,73,114,64
"GA","Troup County",11,46,63,55,98,47
"GA","Turner County",18,61,79,71,114,62
