"State","County","   Days per year with a heat index above 105°F   ",,,,,
,,," Midcentury ",," Late century ",,
,," Historical "," Slow action "," No action "," Slow action "," No action "," Rapid action "
"AL","Autauga County",3,26,40,34,80,26
"AL","Baldwin County",2,23,41,33,87,24
"AL","Barbour County",3,24,38,32,79,25
"AL","Bibb County",4,29,44,37,82,29
"AL","Blount County",2,20,33,26,69,20
"AL","Bullock County",3,26,40,34,80,26
"AL","Butler County",5,29,45,39,88,30
"AL","Calhoun County",2,21,35,28,71,21
"AL","Chambers County",2,20,32,26,70,20
"AL","Cherokee County",2,21,34,28,69,21
"AL","Chilton County",3,25,39,32,77,25
"AL","Choctaw County",6,34,50,43,92,34
"AL","Clarke County",6,30,47,40,90,31
"AL","Clay County",1,15,27,21,62,15
"AL","Cleburne County",1,15,26,21,61,15
"AL","Coffee County",4,26,41,34,83,26
"AL","Colbert County",3,27,40,34,75,27
"AL","Conecuh County",4,28,44,37,88,29
"AL","Coosa County",2,23,37,30,75,23
"AL","Covington County",4,28,45,38,88,29
"AL","Crenshaw County",4,28,44,37,86,29
"AL","Cullman County",1,18,31,24,67,18
"AL","Dale County",3,25,39,33,82,25
"AL","Dallas County",5,30,45,39,86,30
"AL","DeKalb County",1,15,27,21,61,15
"AL","Elmore County",3,25,39,33,78,25
"AL","Escambia County",4,28,45,38,89,29
"AL","Etowah County",2,20,33,27,69,20
"AL","Fayette County",3,28,42,35,77,28
"AL","Franklin County",2,24,37,31,71,24
"AL","Geneva County",3,23,37,31,80,23
"AL","Greene County",6,34,50,44,88,35
"AL","Hale County",6,34,50,43,89,35
"AL","Henry County",3,25,40,33,82,26
"AL","Houston County",4,27,43,35,86,28
"AL","Jackson County",1,18,30,24,63,18
"AL","Jefferson County",3,26,40,33,76,26
"AL","Lamar County",5,30,43,38,79,30
"AL","Lauderdale County",2,25,38,31,72,25
"AL","Lawrence County",2,24,38,31,73,24
"AL","Lee County",1,18,29,24,66,18
"AL","Limestone County",1,21,34,27,68,21
"AL","Lowndes County",4,29,44,37,84,29
"AL","Macon County",3,26,40,34,78,26
"AL","Madison County",1,18,31,24,65,18
"AL","Marengo County",5,32,48,42,89,33
"AL","Marion County",3,25,38,32,73,25
"AL","Marshall County",1,18,31,25,66,19
"AL","Mobile County",3,24,40,33,86,24
"AL","Monroe County",5,29,44,38,88,29
"AL","Montgomery County",4,29,44,38,85,30
"AL","Morgan County",1,21,34,27,69,21
"AL","Perry County",4,28,43,37,82,28
"AL","Pickens County",6,35,50,44,87,35
"AL","Pike County",4,27,42,35,84,28
"AL","Randolph County",1,15,26,21,62,15
"AL","Russell County",3,25,38,32,77,25
"AL","Shelby County",3,26,41,34,78,26
"AL","St. Clair County",2,22,36,29,72,22
"AL","Sumter County",6,36,52,45,91,36
"AL","Talladega County",3,27,42,35,79,28
"AL","Tallapoosa County",3,23,36,30,74,23
"AL","Tuscaloosa County",4,31,46,39,83,31
"AL","Walker County",3,25,39,32,75,25
"AL","Washington County",5,31,48,41,92,32
"AL","Wilcox County",5,30,45,39,86,30
"AL","Winston County",1,20,33,26,68,20
"AR","Arkansas County",7,39,51,46,86,39
"AR","Ashley County",10,45,60,54,96,46
"AR","Baxter County",3,25,38,31,67,25
"AR","Benton County",3,22,36,30,68,23
"AR","Boone County",1,19,32,26,62,19
"AR","Bradley County",9,45,59,53,95,45
"AR","Calhoun County",9,45,60,53,95,46
"AR","Carroll County",2,19,32,26,63,19
"AR","Chicot County",10,47,61,56,97,48
"AR","Clark County",10,45,59,52,92,46
"AR","Clay County",5,35,47,42,76,36
"AR","Cleburne County",4,27,40,34,70,27
"AR","Cleveland County",9,42,56,50,90,42
"AR","Columbia County",12,51,65,60,101,52
"AR","Conway County",9,42,56,49,87,42
"AR","Craighead County",6,37,48,43,79,37
"AR","Crawford County",5,32,46,40,78,33
"AR","Crittenden County",6,40,50,47,83,40
"AR","Cross County",6,39,50,46,82,39
"AR","Dallas County",9,42,57,50,90,43
"AR","Desha County",8,42,56,50,91,42
